,"Belfast Centre",,,,,
Date,Ozone,Status,"Nitrogen dioxide",Status,"Sulphur dioxide",Status
22/03/2008,nodata,"V µg/m³",11,"V µg/m³",5,"V µg/m³"
23/03/2008,nodata,"V µg/m³",5,"V µg/m³",2,"V µg/m³"
24/03/2008,nodata,"V µg/m³",8,"V µg/m³",4,"V µg/m³"
25/03/2008,nodata,"V µg/m³",25,"V µg/m³",3,"V µg/m³"
26/03/2008,nodata,"V µg/m³",35,"V µg/m³",3,"V µg/m³"
27/03/2008,nodata,"V µg/m³",31,"V µg/m³",4,"V µg/m³"
28/03/2008,nodata,"V µg/m³",28,"V µg/m³",3,"V µg/m³"
29/03/2008,63,"V µg/m³",33,"V µg/m³",1,"V µg/m³"
30/03/2008,73,"V µg/m³",21,"V µg/m³",2,"V µg/m³"
31/03/2008,44,"V µg/m³",46,"V µg/m³",7,"V µg/m³"
01/04/2008,81,"V µg/m³",19,"V µg/m³",2,"V µg/m³"
02/04/2008,44,"V µg/m³",38,"V µg/m³",4,"V µg/m³"
03/04/2008,56,"V µg/m³",30,"V µg/m³",3,"V µg/m³"
04/04/2008,57,"V µg/m³",27,"V µg/m³",3,"V µg/m³"
05/04/2008,82,"V µg/m³",11,"V µg/m³",3,"V µg/m³"
06/04/2008,86,"V µg/m³",7,"V µg/m³",0,"V µg/m³"
07/04/2008,72,"V µg/m³",15,"V µg/m³",1,"V µg/m³"
08/04/2008,58,"V µg/m³",36,"V µg/m³",6,"V µg/m³"
09/04/2008,61,"V µg/m³",34,"V µg/m³",3,"V µg/m³"
10/04/2008,59,"V µg/m³",38,"V µg/m³",4,"V µg/m³"
11/04/2008,41,"V µg/m³",54,"V µg/m³",8,"V µg/m³"
12/04/2008,65,"V µg/m³",32,"V µg/m³",6,"V µg/m³"
13/04/2008,85,"V µg/m³",13,"V µg/m³",2,"V µg/m³"
14/04/2008,66,"V µg/m³",21,"V µg/m³",4,"V µg/m³"
15/04/2008,56,"V µg/m³",33,"V µg/m³",4,"V µg/m³"
16/04/2008,63,"V µg/m³",33,"V µg/m³",3,"V µg/m³"
17/04/2008,78,"V µg/m³",22,"V µg/m³",1,"V µg/m³"
18/04/2008,72,"V µg/m³",22,"V µg/m³",2,"V µg/m³"
19/04/2008,90,"V µg/m³",17,"V µg/m³",3,"V µg/m³"
20/04/2008,92,"V µg/m³",9,"V µg/m³",2,"V µg/m³"
21/04/2008,65,"V µg/m³",36,"V µg/m³",4,"V µg/m³"
22/04/2008,71,"V µg/m³",31,"V µg/m³",2,"V µg/m³"
23/04/2008,68,"V µg/m³",29,"V µg/m³",1,"V µg/m³"
24/04/2008,65,"V µg/m³",35,"V µg/m³",2,"V µg/m³"
25/04/2008,44,"V µg/m³",40,"V µg/m³",3,"V µg/m³"
26/04/2008,55,"V µg/m³",32,"V µg/m³",3,"V µg/m³"
27/04/2008,74,"V µg/m³",21,"V µg/m³",2,"V µg/m³"
28/04/2008,50,"V µg/m³",39,"V µg/m³",1,"V µg/m³"
29/04/2008,48,"V µg/m³",40,"V µg/m³",8,"V µg/m³"
30/04/2008,72,"V µg/m³",23,"V µg/m³",nodata,"V µg/m³"
01/05/2008,nodata,"V µg/m³",32,"V µg/m³",nodata,"V µg/m³"
02/05/2008,nodata,"V µg/m³",nodata,"V µg/m³",nodata,"V µg/m³"
03/05/2008,nodata,"V µg/m³",nodata,"V µg/m³",nodata,"V µg/m³"
04/05/2008,nodata,"V µg/m³",nodata,"V µg/m³",nodata,"V µg/m³"
05/05/2008,nodata,"V µg/m³",nodata,"V µg/m³",nodata,"V µg/m³"
06/05/2008,nodata,"V µg/m³",nodata,"V µg/m³",nodata,"V µg/m³"
07/05/2008,nodata,"V µg/m³",nodata,"V µg/m³",nodata,"V µg/m³"
08/05/2008,nodata,"V µg/m³",nodata,"V µg/m³",nodata,"V µg/m³"
09/05/2008,nodata,"V µg/m³",nodata,"V µg/m³",nodata,"V µg/m³"
10/05/2008,nodata,"V µg/m³",nodata,"V µg/m³",nodata,"V µg/m³"
11/05/2008,nodata,"V µg/m³",nodata,"V µg/m³",nodata,"V µg/m³"
12/05/2008,nodata,"V µg/m³",nodata,"V µg/m³",nodata,"V µg/m³"
13/05/2008,nodata,"V µg/m³",nodata,"V µg/m³",nodata,"V µg/m³"
14/05/2008,nodata,"V µg/m³",32,"V µg/m³",nodata,"V µg/m³"
15/05/2008,nodata,"V µg/m³",27,"V µg/m³",nodata,"V µg/m³"
16/05/2008,nodata,"V µg/m³",28,"V µg/m³",2,"V µg/m³"
17/05/2008,nodata,"V µg/m³",24,"V µg/m³",2,"V µg/m³"
18/05/2008,nodata,"V µg/m³",17,"V µg/m³",3,"V µg/m³"
19/05/2008,nodata,"V µg/m³",41,"V µg/m³",6,"V µg/m³"
20/05/2008,nodata,"V µg/m³",nodata,"V µg/m³",nodata,"V µg/m³"
21/05/2008,82,"V µg/m³",27,"V µg/m³",3,"V µg/m³"
22/05/2008,76,"V µg/m³",39,"V µg/m³",4,"V µg/m³"
23/05/2008,91,"V µg/m³",31,"V µg/m³",4,"V µg/m³"
24/05/2008,89,"V µg/m³",21,"V µg/m³",5,"V µg/m³"
25/05/2008,88,"V µg/m³",22,"V µg/m³",6,"V µg/m³"
26/05/2008,81,"V µg/m³",28,"V µg/m³",8,"V µg/m³"
27/05/2008,67,"V µg/m³",31,"V µg/m³",8,"V µg/m³"
28/05/2008,53,"V µg/m³",41,"V µg/m³",3,"V µg/m³"
29/05/2008,53,"V µg/m³",36,"V µg/m³",0,"V µg/m³"
30/05/2008,43,"V µg/m³",52,"V µg/m³",9,"V µg/m³"
31/05/2008,50,"V µg/m³",32,"V µg/m³",5,"V µg/m³"
01/06/2008,77,"V µg/m³",26,"V µg/m³",6,"V µg/m³"
02/06/2008,71,"V µg/m³",30,"V µg/m³",2,"V µg/m³"
03/06/2008,59,"V µg/m³",27,"V µg/m³",6,"V µg/m³"
04/06/2008,56,"V µg/m³",27,"V µg/m³",0,"V µg/m³"
05/06/2008,35,"V µg/m³",36,"V µg/m³",4,"V µg/m³"
06/06/2008,50,"V µg/m³",31,"V µg/m³",6,"V µg/m³"
07/06/2008,59,"V µg/m³",19,"V µg/m³",3,"V µg/m³"
08/06/2008,52,"V µg/m³",21,"V µg/m³",1,"V µg/m³"
09/06/2008,31,"V µg/m³",21,"V µg/m³",1,"V µg/m³"
10/06/2008,57,"V µg/m³",20,"V µg/m³",0,"V µg/m³"
11/06/2008,49,"V µg/m³",24,"V µg/m³",0,"V µg/m³"
12/06/2008,58,"V µg/m³",12,"V µg/m³",3,"V µg/m³"
13/06/2008,63,"V µg/m³",14,"V µg/m³",0,"V µg/m³"
14/06/2008,59,"V µg/m³",14,"V µg/m³",3,"V µg/m³"
15/06/2008,57,"V µg/m³",6,"V µg/m³",2,"V µg/m³"
16/06/2008,54,"V µg/m³",20,"V µg/m³",0,"V µg/m³"
17/06/2008,46,"V µg/m³",32,"V µg/m³",0,"V µg/m³"
18/06/2008,42,"V µg/m³",31,"V µg/m³",0,"V µg/m³"
19/06/2008,48,"V µg/m³",24,"V µg/m³",0,"V µg/m³"
20/06/2008,41,"V µg/m³",27,"V µg/m³",1,"V µg/m³"
21/06/2008,32,"V µg/m³",36,"V µg/m³",2,"V µg/m³"
22/06/2008,56,"V µg/m³",8,"V µg/m³",0,"V µg/m³"
23/06/2008,44,"V µg/m³",30,"V µg/m³",6,"V µg/m³"
24/06/2008,41,"V µg/m³",26,"V µg/m³",6,"V µg/m³"
25/06/2008,52,"V µg/m³",19,"V µg/m³",4,"V µg/m³"
26/06/2008,40,"V µg/m³",29,"V µg/m³",4,"V µg/m³"
27/06/2008,32,"V µg/m³",28,"V µg/m³",4,"V µg/m³"
28/06/2008,40,"V µg/m³",20,"V µg/m³",4,"V µg/m³"
29/06/2008,53,"V µg/m³",9,"V µg/m³",2,"V µg/m³"
30/06/2008,38,"V µg/m³",24,"V µg/m³",4,"V µg/m³"
01/07/2008,48,"V µg/m³",23,"V µg/m³",4,"V µg/m³"
02/07/2008,47,"V µg/m³",22,"V µg/m³",4,"V µg/m³"
03/07/2008,31,"V µg/m³",30,"V µg/m³",4,"V µg/m³"
04/07/2008,39,"V µg/m³",25,"V µg/m³",2,"V µg/m³"
05/07/2008,48,"V µg/m³",25,"V µg/m³",1,"V µg/m³"
06/07/2008,35,"V µg/m³",24,"V µg/m³",2,"V µg/m³"
07/07/2008,47,"V µg/m³",21,"V µg/m³",4,"V µg/m³"
08/07/2008,41,"V µg/m³",24,"V µg/m³",4,"V µg/m³"
09/07/2008,42,"V µg/m³",26,"V µg/m³",6,"V µg/m³"
10/07/2008,29,"V µg/m³",26,"V µg/m³",9,"V µg/m³"
11/07/2008,46,"V µg/m³",17,"V µg/m³",2,"V µg/m³"
12/07/2008,54,"V µg/m³",8,"V µg/m³",2,"V µg/m³"
13/07/2008,51,"V µg/m³",11,"V µg/m³",5,"V µg/m³"
14/07/2008,35,"V µg/m³",11,"V µg/m³",3,"V µg/m³"
15/07/2008,39,"V µg/m³",14,"V µg/m³",2,"V µg/m³"
16/07/2008,39,"V µg/m³",17,"V µg/m³",3,"V µg/m³"
17/07/2008,32,"V µg/m³",17,"V µg/m³",2,"V µg/m³"
18/07/2008,27,"V µg/m³",19,"V µg/m³",2,"V µg/m³"
19/07/2008,49,"V µg/m³",9,"V µg/m³",0,"V µg/m³"
20/07/2008,55,"V µg/m³",5,"V µg/m³",0,"V µg/m³"
21/07/2008,40,"V µg/m³",17,"V µg/m³",4,"V µg/m³"
22/07/2008,18,"V µg/m³",21,"V µg/m³",4,"V µg/m³"
23/07/2008,33,"V µg/m³",20,"V µg/m³",3,"V µg/m³"
24/07/2008,42,"V µg/m³",37,"V µg/m³",4,"V µg/m³"
25/07/2008,70,"V µg/m³",34,"V µg/m³",3,"V µg/m³"
26/07/2008,41,"V µg/m³",34,"V µg/m³",3,"V µg/m³"
27/07/2008,54,"V µg/m³",9,"V µg/m³",3,"V µg/m³"
28/07/2008,46,"V µg/m³",37,"V µg/m³",10,"V µg/m³"
29/07/2008,60,"V µg/m³",22,"V µg/m³",4,"V µg/m³"
30/07/2008,43,"V µg/m³",15,"V µg/m³",3,"V µg/m³"
31/07/2008,34,"V µg/m³",33,"V µg/m³",3,"V µg/m³"
01/08/2008,46,"V µg/m³",28,"V µg/m³",2,"V µg/m³"
02/08/2008,37,"V µg/m³",25,"V µg/m³",2,"V µg/m³"
03/08/2008,41,"V µg/m³",15,"V µg/m³",2,"V µg/m³"
04/08/2008,37,"V µg/m³",28,"V µg/m³",4,"V µg/m³"
05/08/2008,26,"V µg/m³",38,"V µg/m³",5,"V µg/m³"
06/08/2008,14,"V µg/m³",39,"V µg/m³",4,"V µg/m³"
07/08/2008,32,"V µg/m³",20,"V µg/m³",3,"V µg/m³"
08/08/2008,32,"V µg/m³",30,"V µg/m³",4,"V µg/m³"
09/08/2008,33,"V µg/m³",29,"V µg/m³",3,"V µg/m³"
10/08/2008,43,"V µg/m³",13,"V µg/m³",2,"V µg/m³"
11/08/2008,41,"V µg/m³",24,"V µg/m³",2,"V µg/m³"
12/08/2008,nodata,"V µg/m³",nodata,"V µg/m³",nodata,"V µg/m³"
13/08/2008,nodata,"V µg/m³",nodata,"V µg/m³",nodata,"V µg/m³"
