,Belfast Centre,,,,,,,,,
Date,Ozone,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Sulphur dioxide,Status,Carbon monoxide,Status
30/11/1994,13,V µg/m³,20,V µg/m³,44,V µg/m³,22,V µg/m³,0.6,V mg/m³
01/12/1994,15,V µg/m³,36,V µg/m³,46,V µg/m³,24,V µg/m³,0.9,V mg/m³
02/12/1994,27,V µg/m³,14,V µg/m³,35,V µg/m³,14,V µg/m³,0.7,V mg/m³
03/12/1994,31,V µg/m³,20,V µg/m³,44,V µg/m³,29,V µg/m³,0.5,V mg/m³
04/12/1994,19,V µg/m³,68,V µg/m³,51,V µg/m³,99,V µg/m³,2,V mg/m³
05/12/1994,34,V µg/m³,30,V µg/m³,43,V µg/m³,46,V µg/m³,0.8,V mg/m³
06/12/1994,42,V µg/m³,28,V µg/m³,41,V µg/m³,38,V µg/m³,0.8,V mg/m³
07/12/1994,38,V µg/m³,26,V µg/m³,46,V µg/m³,49,V µg/m³,0.9,V mg/m³
08/12/1994,40,V µg/m³,22,V µg/m³,47,V µg/m³,49,V µg/m³,1.1,V mg/m³
09/12/1994,24,V µg/m³,47,V µg/m³,58,V µg/m³,73,V µg/m³,1,V mg/m³
10/12/1994,36,V µg/m³,12,V µg/m³,30,V µg/m³,19,V µg/m³,0.7,V mg/m³
11/12/1994,42,V µg/m³,4,V µg/m³,22,V µg/m³,12,V µg/m³,0.6,V mg/m³
12/12/1994,42,V µg/m³,22,V µg/m³,40,V µg/m³,40,V µg/m³,0.5,V mg/m³
13/12/1994,24,V µg/m³,34,V µg/m³,55,V µg/m³,46,V µg/m³,0.9,V mg/m³
14/12/1994,17,V µg/m³,188,V µg/m³,71,V µg/m³,213,V µg/m³,3,V mg/m³
15/12/1994,15,V µg/m³,76,V µg/m³,65,V µg/m³,121,V µg/m³,1.7,V mg/m³
16/12/1994,20,V µg/m³,75,V µg/m³,61,V µg/m³,84,V µg/m³,1.2,V mg/m³
17/12/1994,44,V µg/m³,11,V µg/m³,36,V µg/m³,23,V µg/m³,0.5,V mg/m³
18/12/1994,44,V µg/m³,5,V µg/m³,30,V µg/m³,35,V µg/m³,0.5,V mg/m³
19/12/1994,28,V µg/m³,35,V µg/m³,57,V µg/m³,65,V µg/m³,0.9,V mg/m³
20/12/1994,20,V µg/m³,74,V µg/m³,59,V µg/m³,92,V µg/m³,1.6,V mg/m³
21/12/1994,23,V µg/m³,462,V µg/m³,91,V µg/m³,389,V µg/m³,6.2,V mg/m³
22/12/1994,19,V µg/m³,409,V µg/m³,106,V µg/m³,327,V µg/m³,7.3,V mg/m³
23/12/1994,18,V µg/m³,41,V µg/m³,55,V µg/m³,55,V µg/m³,0.6,V mg/m³
24/12/1994,20,V µg/m³,31,V µg/m³,51,V µg/m³,55,V µg/m³,1,V mg/m³
25/12/1994,47,V µg/m³,3,V µg/m³,17,V µg/m³,35,V µg/m³,1,V mg/m³
26/12/1994,42,V µg/m³,5,V µg/m³,20,V µg/m³,38,V µg/m³,0.8,V mg/m³
27/12/1994,14,V µg/m³,68,V µg/m³,62,V µg/m³,122,V µg/m³,2.4,V mg/m³
28/12/1994,19,V µg/m³,31,V µg/m³,57,V µg/m³,65,V µg/m³,1,V mg/m³
29/12/1994,48,V µg/m³,18,V µg/m³,36,V µg/m³,36,V µg/m³,1,V mg/m³
30/12/1994,55,V µg/m³,9,V µg/m³,20,V µg/m³,22,V µg/m³,1,V mg/m³
