,"Belfast Centre",,,,,
Date,Ozone,Status,"Nitrogen dioxide",Status,"Sulphur dioxide",Status
01/01/2019,48,"V µg/m³",20,"V µg/m³",1,"V µg/m³"
02/01/2019,41,"V µg/m³",30,"V µg/m³",1,"V µg/m³"
03/01/2019,16,"V µg/m³",48,"V µg/m³",2,"V µg/m³"
04/01/2019,29,"V µg/m³",39,"V µg/m³",1,"V µg/m³"
05/01/2019,27,"V µg/m³",40,"V µg/m³",1,"V µg/m³"
06/01/2019,23,"V µg/m³",28,"V µg/m³",1,"V µg/m³"
07/01/2019,40,"V µg/m³",27,"V µg/m³",1,"V µg/m³"
08/01/2019,40,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
09/01/2019,15,"V µg/m³",nodata,"V µg/m³",3,"V µg/m³"
10/01/2019,31,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
11/01/2019,24,"V µg/m³",nodata,"V µg/m³",2,"V µg/m³"
12/01/2019,40,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
13/01/2019,47,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
14/01/2019,28,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
15/01/2019,20,"V µg/m³",nodata,"V µg/m³",2,"V µg/m³"
16/01/2019,28,"V µg/m³",nodata,"V µg/m³",2,"V µg/m³"
17/01/2019,26,"V µg/m³",nodata,"V µg/m³",3,"V µg/m³"
18/01/2019,12,"V µg/m³",nodata,"V µg/m³",3,"V µg/m³"
19/01/2019,16,"V µg/m³",nodata,"V µg/m³",2,"V µg/m³"
20/01/2019,22,"V µg/m³",nodata,"V µg/m³",2,"V µg/m³"
21/01/2019,22,"V µg/m³",nodata,"V µg/m³",4,"V µg/m³"
22/01/2019,31,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
23/01/2019,18,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
24/01/2019,18,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
25/01/2019,32,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
26/01/2019,34,"V µg/m³",nodata,"V µg/m³",4,"V µg/m³"
27/01/2019,50,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
28/01/2019,31,"V µg/m³",nodata,"V µg/m³",2,"V µg/m³"
29/01/2019,43,"V µg/m³",27,"V µg/m³",3,"V µg/m³"
30/01/2019,36,"V µg/m³",40,"V µg/m³",1,"V µg/m³"
31/01/2019,23,"V µg/m³",53,"V µg/m³",4,"V µg/m³"
01/02/2019,45,"V µg/m³",29,"V µg/m³",2,"V µg/m³"
02/02/2019,34,"V µg/m³",37,"V µg/m³",2,"V µg/m³"
03/02/2019,33,"V µg/m³",29,"V µg/m³",2,"V µg/m³"
04/02/2019,40,"V µg/m³",39,"V µg/m³",3,"V µg/m³"
05/02/2019,29,"V µg/m³",39,"V µg/m³",2,"V µg/m³"
06/02/2019,42,"V µg/m³",33,"V µg/m³",2,"V µg/m³"
07/02/2019,48,"V µg/m³",27,"V µg/m³",1,"V µg/m³"
08/02/2019,61,"V µg/m³",17,"V µg/m³",5,"V µg/m³"
09/02/2019,57,"V µg/m³",19,"V µg/m³",2,"V µg/m³"
10/02/2019,50,"V µg/m³",17,"V µg/m³",4,"V µg/m³"
11/02/2019,25,"V µg/m³",38,"V µg/m³",nodata,"V µg/m³"
12/02/2019,36,"V µg/m³",32,"V µg/m³",1,"V µg/m³"
13/02/2019,55,"V µg/m³",18,"V µg/m³",1,"V µg/m³"
14/02/2019,54,"V µg/m³",23,"V µg/m³",1,"V µg/m³"
15/02/2019,51,"V µg/m³",22,"V µg/m³",2,"V µg/m³"
16/02/2019,63,"V µg/m³",13,"V µg/m³",1,"V µg/m³"
17/02/2019,75,"V µg/m³",8,"V µg/m³",2,"V µg/m³"
18/02/2019,53,"V µg/m³",24,"V µg/m³",2,"V µg/m³"
19/02/2019,52,"V µg/m³",22,"V µg/m³",1,"V µg/m³"
20/02/2019,55,"V µg/m³",23,"V µg/m³",1,"V µg/m³"
21/02/2019,60,"V µg/m³",18,"V µg/m³",2,"V µg/m³"
22/02/2019,67,"V µg/m³",16,"V µg/m³",1,"V µg/m³"
23/02/2019,50,"V µg/m³",27,"V µg/m³",1,"V µg/m³"
24/02/2019,37,"V µg/m³",31,"V µg/m³",2,"V µg/m³"
25/02/2019,32,"V µg/m³",41,"V µg/m³",2,"V µg/m³"
26/02/2019,15,"V µg/m³",58,"V µg/m³",3,"V µg/m³"
27/02/2019,18,"V µg/m³",55,"V µg/m³",3,"V µg/m³"
28/02/2019,27,"V µg/m³",41,"V µg/m³",2,"V µg/m³"
01/03/2019,40,"V µg/m³",30,"V µg/m³",1,"V µg/m³"
